Sample	Acidobacteria_Gp1	Acidobacteria_Gp10	Acidobacteria_Gp11	Acidobacteria_Gp12	Acidobacteria_Gp13	Acidobacteria_Gp14	Acidobacteria_Gp15	Acidobacteria_Gp16	Acidobacteria_Gp17	Acidobacteria_Gp18	Acidobacteria_Gp19	Acidobacteria_Gp2	Acidobacteria_Gp20	Acidobacteria_Gp21	Acidobacteria_Gp22	Acidobacteria_Gp25	Acidobacteria_Gp3	Acidobacteria_Gp4	Acidobacteria_Gp5	Acidobacteria_Gp6	Acidobacteria_Gp7	Acidobacteria_Gp9	Actinobacteria	Alphaproteobacteria	Anaerolineae	Armatimonadetes_gp2	Armatimonadetes_gp4	Armatimonadetes_gp5	Armatimonadia	BRC1_genera_incertae_sedis	Bacilli	Bacteroidia	Betaproteobacteria	Caldilineae	Caldisericia	Candidatus Hydrogenedens	Chlamydiia	Chloroflexia	Chloroplast	Chthonomonadetes	Clostridia	Cyanobacteria	Cytophagia	Dehalococcoidetes	Deinococci	Deltaproteobacteria	Elusimicrobia	Endomicrobia	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Gammaproteobacteria	Gemmatimonadetes	Halobacteria	Holophagae	Ktedonobacteria	Latescibacteria_genera_incertae_sedis	Methanobacteria	Methanomicrobia	Mollicutes	Negativicutes	Nitrososphaerales	Nitrospira	Oligoflexia	Opitutae	Pacearchaeota Incertae Sedis AR13	Parcubacteria_genera_incertae_sedis	Phycisphaerae	Planctomycetia	Saccharibacteria_genera_incertae_sedis	Spartobacteria	Sphingobacteriia	Spirochaetia	Subdivision3	Subdivision5	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermoprotei	Unclassified Acidobacteria Phylum	Unclassified Actinobacteria Phylum	Unclassified Armatimonadetes Phylum	Unclassified Bacteroidetes Phylum	Unclassified Chloroflexi Phylum	Unclassified Cyanobacteria/Chloroplast Phylum	Unclassified Elusimicrobia Phylum	Unclassified Euryarchaeota Phylum	Unclassified Fibrobacteres Phylum	Unclassified Firmicutes Phylum	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Thaumarchaeota Phylum	Unclassified Verrucomicrobia Phylum	Unclassified Woesearchaeota Phylum	Verrucomicrobiae	WPS-1_genera_incertae_sedis	WPS-2_genera_incertae_sedis	ZB3_genera_incertae_sedis
BulkRAG1	9980	20	1	1	32	0	2	135	5	2	0	199	0	0	1	7	5362	627	138	420	195	0	41268	16386	20	0	1	2	1	2	17699	0	5695	1	0	0	176	234	27	3	543	158	113	0	4	1920	0	0	14	2	8	26	993	512	0	0	1811	15	0	2	0	21	464	643	15	33	0	4	32	3116	365	1144	1247	0	395	0	31	90	3	4	710	2677	11	352	501	22	0	22	0	2654	10	3946	2	501	0	18	605	695	0
BulkRAG2	11861	29	1	2	46	0	16	179	4	2	0	234	0	0	0	10	6275	1049	246	660	241	0	49602	18751	22	0	0	9	5	3	23193	2	6835	10	0	0	196	446	48	8	539	186	185	0	9	2181	0	0	5	0	13	38	1090	770	0	0	2658	12	0	3	1	39	758	908	5	41	0	7	64	3927	582	1481	1787	0	648	0	54	157	3	5	769	3323	9	420	714	10	0	25	0	3277	9	3819	1	575	1	15	797	782	0
BulkRAG3	8897	43	0	0	30	0	6	156	3	1	0	158	0	0	0	7	5058	762	178	420	173	0	38597	13705	16	0	0	6	2	3	17994	1	4849	4	0	0	153	329	42	4	434	222	138	0	13	1529	0	0	10	0	15	26	786	524	0	1	1821	6	0	0	0	21	629	704	9	20	0	6	52	2879	456	1315	1283	0	433	0	51	101	2	1	565	2572	10	302	541	12	0	17	0	2299	12	2775	1	416	4	13	646	516	0
BulkTP1	2766	12	156	0	16	0	5	1276	95	34	0	159	3	4	33	639	1925	1475	1735	2971	351	8	45538	53314	221	1	0	0	0	22	14984	1	1951	25	0	1	612	109	3	0	1515	5	57	0	7	3075	0	0	13	0	1	103	3182	215	0	1	470	170	4	9	0	80	500	718	0	32	0	30	128	5807	137	8522	313	0	700	0	355	10	26	1	1123	8886	3	210	412	0	0	8	0	1839	25	6359	0	2312	4	44	404	27	0
BulkTP2	3062	7	136	0	10	0	8	1251	90	40	0	155	3	2	34	763	1908	1649	1873	3165	331	8	43728	55584	168	1	0	0	0	15	15830	0	1754	28	0	0	713	105	5	0	1160	0	67	0	0	2893	0	1	18	1	2	117	3281	183	0	0	541	215	0	1	0	59	532	823	0	37	2	35	173	5763	167	9781	306	1	716	0	273	13	5	3	1250	8012	2	236	391	0	1	8	0	1856	42	6792	0	2783	2	29	370	20	0
BulkTP3	2261	5	81	1	14	0	5	1299	71	42	0	104	1	1	26	563	1351	1162	1188	2414	306	6	41002	47432	91	0	0	1	1	13	7461	0	1455	23	0	0	418	64	1	0	776	0	50	1	0	2340	0	0	7	1	2	250	2519	180	0	0	357	174	0	3	0	37	403	598	4	18	0	19	173	4661	80	8952	277	0	554	0	301	10	6	2	811	8066	3	318	283	0	0	2	0	1070	37	5615	0	2486	0	32	368	22	0
RAG1	16146	132	0	3	64	0	11	401	22	0	0	281	0	0	0	20	9760	2898	267	1362	537	0	50614	32157	44	0	0	65	8	22	25226	1	4387	28	0	1	337	742	111	5	491	498	267	0	26	3413	1	0	10	3	43	34	1716	1388	0	1	2996	17	0	4	0	37	837	1271	6	183	0	47	146	5604	1010	2850	2571	0	874	0	98	160	1	2	1414	4214	66	595	1093	46	0	86	0	3304	18	5539	0	981	6	123	1375	1291	0
RAG10	13687	59	2	0	54	0	8	336	20	1	1	220	0	0	0	14	8772	1969	171	1324	485	0	47654	30791	35	0	8	46	21	19	19872	1	4729	18	0	0	276	627	253	14	400	247	398	0	53	2953	0	0	8	4	31	26	1818	946	0	1	2713	9	0	1	0	22	2526	1104	8	115	0	43	147	5451	1174	2625	2535	0	845	0	59	151	5	5	1121	4137	51	560	986	23	0	140	0	2651	21	5509	1	893	24	104	1315	1264	0
RAG11	5689	2	0	0	7	0	4	22	1	1	0	33	0	0	0	5	3454	640	18	185	75	0	15568	9558	6	0	0	6	5	0	10410	0	668	2	0	0	160	111	81	4	133	281	99	0	14	972	0	0	4	0	19	17	502	135	0	1	640	2	0	0	0	8	194	549	3	20	0	9	66	704	189	674	596	0	97	0	6	23	0	5	399	1373	20	244	182	28	0	4	0	1806	6	2127	0	438	3	30	217	443	0
RAG12	12513	31	2	1	46	0	4	168	13	2	0	168	0	0	0	10	6778	1447	176	652	281	0	30752	20199	47	0	3	34	12	7	18657	0	2740	17	0	0	357	355	245	20	372	336	265	0	7	2357	0	0	10	0	43	22	1494	520	0	0	2350	5	0	0	0	27	2266	883	8	95	0	49	84	3465	742	2357	1549	0	765	0	30	90	1	8	893	2801	38	415	680	42	0	70	0	2731	18	4012	0	1032	19	164	1070	1053	0
RAG2	15375	41	3	2	56	0	17	349	23	3	0	247	0	0	0	21	8496	1967	251	1286	476	0	40730	31038	47	0	0	40	3	8	23218	0	7397	18	0	0	316	556	652	7	353	241	604	0	6	3338	1	0	5	1	48	10971	1849	994	0	4	2799	18	0	0	0	23	873	1085	4	178	0	55	92	5283	1187	2865	1710	0	922	0	73	143	4	4	1324	3794	58	1332	942	22	0	229	0	2801	28	6071	1	1067	22	602	1142	1006	0
RAG3	15934	67	2	1	48	0	7	397	25	3	0	279	1	0	1	24	9421	1992	248	1160	467	0	49376	32140	41	0	0	43	5	9	24386	0	4565	19	0	0	324	619	235	7	541	357	444	0	19	3283	0	0	6	2	53	44	2269	1072	0	1	3069	7	0	0	0	28	759	1189	9	112	0	63	124	5755	999	2602	2271	0	757	0	71	148	2	5	1440	4292	71	504	1077	53	0	79	0	3175	24	6219	0	910	18	226	1197	1254	0
RAG4	15559	78	0	1	54	1	8	367	16	3	0	266	0	0	0	28	8540	2395	242	1339	455	0	48773	30971	30	0	0	49	1	19	26402	0	5055	20	0	0	351	591	344	10	453	387	477	0	20	3349	1	0	20	2	57	2628	1796	1073	0	6	3069	12	0	2	0	21	940	1197	5	170	0	45	157	5901	1061	3041	2365	0	815	0	81	128	2	8	1386	4474	64	832	950	39	0	80	0	3673	27	6264	0	1082	19	326	1172	945	0
RAG5	12552	62	0	1	47	0	4	329	11	4	0	250	0	0	0	13	7283	1494	196	1080	380	0	37476	23427	19	0	0	48	3	14	17174	0	3059	20	0	0	292	488	127	3	380	102	157	0	6	2834	0	0	4	5	41	17	2140	828	0	3	2536	6	1	0	0	27	658	906	4	99	0	33	94	4932	966	2348	1733	1	689	1	63	124	1	6	1023	3368	44	424	894	10	0	118	0	2362	19	4440	0	758	15	72	1087	1204	0
RAG6	4951	22	2	2	10	0	3	117	8	0	0	77	0	0	0	6	2808	673	50	305	130	0	13510	263674	11	0	1	22	4	8	7476	0	3917	12	0	0	166	197	49	1	158	55	1398	0	94	1580	0	0	1	1	54	934	1366	329	0	1	992	6	0	1	1	14	255	434	4	49	0	20	59	1669	366	971	2711	0	274	0	12	27	0	6	328	914	19	642	315	9	0	41	0	1237	10	13726	0	444	10	379	445	365	0
