Sample	Acidicapsa	Acidimicrobiales	Acidipila	Acidobacterium	Actinomycetales	Alphaproteobacteria_incertae_sedis	Anaerolineales	Aridibacter	Armatimonadales	Armatimonadetes_gp2	Armatimonadetes_gp4	Armatimonadetes_gp5	BRC1_genera_incertae_sedis	Bacillales	Bacteroidales	Bdellovibrionales	Blastocatella	Bryobacter	Bryocella	Burkholderiales	Caldilineales	Caldisericales	Candidatus Endomicrobium	Candidatus Hydrogenedens	Candidatus Koribacter	Candidatus Solibacter	Caulobacterales	Chlamydiales	Chloroflexales	Chloroplast	Chromatiales	Chthonomonadales	Clostridiales	Coriobacteriales	Cytophagales	Dehalogenimonas	Deinococcales	Deltaproteobacteria_incertae_sedis	Desulfobacterales	Desulfovibrionales	Desulfurococcales	Desulfuromonadales	Edaphobacter	Elusimicrobiales	Enterobacteriales	Erysipelotrichales	Euzebyales	Family I	Family IV	Family V	Family VIII	Family XIII	Fibrobacterales	Fimbriimonadales	Flavobacteriales	Gaiellales	Gammaproteobacteria_incertae_sedis	Gemmatimonadales	Gp1	Gp10	Gp11	Gp12	Gp13	Gp14	Gp15	Gp16	Gp17	Gp18	Gp19	Gp2	Gp20	Gp21	Gp22	Gp25	Gp3	Gp4	Gp5	Gp6	Gp7	Gp9	Granulicella	Haloferacales	Haloplasmatales	Herpetosiphonales	Holophagales	Kallotenuales	Ktedonobacterales	Lactobacillales	Latescibacteria_genera_incertae_sedis	Legionellales	Limisphaera	Methanobacteriales	Methanocellales	Methanomassiliicoccales	Methanomicrobiales	Methanosarcinales	Methylococcales	Methylophilales	Myxococcales	Neisseriales	Nitriliruptorales	Nitrosomonadales	Nitrososphaerales	Nitrospirales	Oligoflexales	Opitutales	Pacearchaeota Incertae Sedis AR13	Paludibaculum	Parcubacteria_genera_incertae_sedis	Parvularculales	Phycisphaerales	Planctomycetales	Procabacteriales	Pseudomonadales	Pyrinomonas	Rhizobiales	Rhodobacterales	Rhodocyclales	Rhodospirillales	Rickettsiales	Rubrobacterales	Saccharibacteria_genera_incertae_sedis	Selenomonadales	Sneathiellales	Solirubrobacterales	Spartobacteria_genera_incertae_sedis	Sphaerobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Subdivision3_genera_incertae_sedis	Subdivision5_genera_incertae_sedis	Syntrophobacterales	Syntrophorhabdaceae	Telmatobacter	Tepidisphaerales	Terriglobus	Terrimicrobium	Thermoleophilales	Thiotrichales	Unclassified Acidobacteria Phylum	Unclassified Acidobacteria_Gp1 Class	Unclassified Acidobacteria_Gp3 Class	Unclassified Acidobacteria_Gp4 Class	Unclassified Actinobacteria Class	Unclassified Actinobacteria Phylum	Unclassified Alphaproteobacteria Class	Unclassified Armatimonadetes Phylum	Unclassified Bacilli Class	Unclassified Bacteroidetes Phylum	Unclassified Betaproteobacteria Class	Unclassified Chloroflexi Phylum	Unclassified Chloroflexia Class	Unclassified Clostridia Class	Unclassified Cyanobacteria Class	Unclassified Cyanobacteria/Chloroplast Phylum	Unclassified Deinococci Class	Unclassified Deltaproteobacteria Class	Unclassified Elusimicrobia Phylum	Unclassified Euryarchaeota Phylum	Unclassified Fibrobacteres Phylum	Unclassified Firmicutes Phylum	Unclassified Gammaproteobacteria Class	Unclassified Holophagae Class	Unclassified Ktedonobacteria Class	Unclassified Methanomicrobia Class	Unclassified Opitutae Class	Unclassified Phycisphaerae Class	Unclassified Planctomycetes Phylum	Unclassified Planctomycetia Class	Unclassified Proteobacteria Phylum	Unclassified Spartobacteria Class	Unclassified Subdivision3 Class	Unclassified Thaumarchaeota Phylum	Unclassified Thermomicrobia Class	Unclassified Thermoplasmata Class	Unclassified Thermoprotei Class	Unclassified Verrucomicrobia Phylum	Unclassified Woesearchaeota Phylum	Verrucomicrobiales	WPS-1_genera_incertae_sedis	WPS-2_genera_incertae_sedis	Xanthomonadales	Xiphinematobacter	ZB3_genera_incertae_sedis
BulkRAG1	0	647	133	0	28698	9	20	112	1	0	1	2	2	15786	0	76	10	0	4	4175	1	0	0	0	611	1048	164	176	2	27	1	3	525	2	113	0	4	0	0	0	0	48	37	0	5	14	0	38	0	14	0	3	2	8	26	2862	0	512	2931	20	1	1	32	0	2	135	5	2	0	199	0	0	1	7	1523	260	138	420	195	0	4	0	0	1	0	122	1740	5	15	55	0	0	0	2	2	0	0	0	1575	0	0	12	464	643	15	33	0	5	4	0	0	3108	1	8	0	5082	2	10	2276	0	46	365	21	0	1230	774	86	1247	2625	0	324	0	0	0	0	30	8	4	31	0	710	6252	2786	245	7783	2677	6228	11	1908	352	1497	501	109	18	103	22	0	221	0	22	0	2654	708	0	71	0	0	2	10	8	3946	366	71	2	4	1	4	501	0	18	605	695	216	0	0
BulkRAG2	0	851	156	0	34139	11	22	299	5	0	0	9	3	20850	2	105	28	0	5	4992	10	0	0	0	752	899	196	196	5	48	2	8	519	1	185	0	7	0	0	0	1	11	24	0	12	5	0	39	0	24	1	4	0	13	38	3851	0	770	3995	29	1	2	46	0	16	179	4	2	0	234	0	0	0	10	2192	329	246	660	241	0	9	0	1	0	0	239	2551	6	12	59	0	0	0	2	3	0	0	1	1842	3	0	14	758	908	5	40	0	4	7	0	2	3918	0	14	0	6049	14	9	2871	0	60	582	39	0	1794	1119	148	1787	3288	0	567	0	1	0	0	60	3	3	54	0	769	6917	3180	393	8906	3323	6322	9	2337	420	1816	714	202	20	118	10	2	222	0	25	0	3277	747	0	107	0	1	2	9	9	3819	359	81	1	9	1	4	575	1	15	797	782	256	0	0
BulkRAG3	0	739	123	0	26129	6	16	191	2	0	0	6	3	16300	1	80	10	0	0	3529	4	0	0	0	555	685	171	153	9	42	2	4	413	2	138	0	12	0	0	0	0	9	23	0	9	10	0	28	0	19	2	6	0	15	26	3259	0	524	2936	43	0	0	30	0	6	156	3	1	0	158	0	0	0	7	1801	271	178	420	173	0	12	0	0	0	1	197	1735	5	6	50	0	0	0	2	0	0	0	1	1291	3	0	9	629	704	9	19	0	5	6	0	1	2873	0	16	0	4145	10	5	2110	0	62	456	21	0	1398	971	95	1283	2620	0	379	0	0	0	0	49	7	2	51	0	565	5241	2567	290	7008	2572	4643	10	1689	302	1302	541	123	21	167	12	1	149	0	17	0	2299	553	0	86	0	1	2	12	6	2775	342	54	1	6	0	1	416	4	13	646	516	156	0	0
BulkTP1	0	1337	45	0	15183	9	221	29	0	1	0	0	22	13999	1	40	6	0	0	747	25	0	0	1	232	611	67	612	1	3	57	0	1478	3	57	0	7	1	1	5	0	42	6	0	0	13	2	2	0	0	0	0	0	1	103	10220	0	215	676	12	156	0	16	0	5	1276	95	34	0	159	3	4	33	639	382	1180	1735	2971	351	8	0	0	0	0	1	2	442	7	170	320	3	4	7	24	0	2	7	0	2166	1	0	5	500	718	0	30	0	5	30	0	1	5788	0	27	0	31972	15	9	1048	0	7	137	80	0	330	6355	7	313	818	0	574	0	17	1	0	90	1	443	355	0	1123	1806	927	260	18456	8886	19385	3	978	210	1189	412	106	37	3	0	0	802	0	8	0	1839	1498	0	28	0	2	37	25	19	6359	1724	123	0	3	2	1	2312	4	44	404	27	1273	0	0
BulkTP2	0	1180	38	0	15404	21	168	19	0	1	0	0	15	14779	0	30	6	0	0	673	28	0	1	0	293	668	85	713	1	5	45	0	1125	4	67	0	0	1	0	6	0	50	3	0	0	18	0	0	0	0	0	0	1	2	117	9410	0	183	579	7	136	0	10	0	8	1251	90	40	0	155	3	2	34	763	367	1334	1873	3165	331	8	0	0	0	0	0	0	509	3	215	289	1	0	1	3	0	0	9	0	2029	1	0	9	532	823	0	34	2	2	35	1	3	5744	0	42	0	32619	17	6	1086	1	7	167	59	0	303	7311	11	306	868	1	589	0	8	0	0	124	0	567	273	0	1250	2149	871	290	17420	8012	20886	2	1048	236	1065	391	104	35	0	0	0	769	1	8	0	1856	1552	0	32	0	3	46	42	19	6792	1903	126	0	2	2	3	2783	2	29	370	20	1344	0	0
BulkTP3	0	1326	17	0	12471	9	91	27	1	0	0	1	13	6869	0	34	2	0	1	442	23	0	0	0	210	447	50	418	1	1	51	0	758	2	50	1	0	0	1	3	0	25	2	0	0	7	0	0	0	0	0	0	1	2	250	9579	0	180	482	5	81	1	14	0	5	1299	71	42	0	104	1	1	26	563	240	928	1188	2414	306	6	0	0	0	0	0	1	338	6	174	249	0	0	2	5	0	1	10	0	1706	2	0	6	403	598	4	18	0	1	19	0	7	4648	0	4	0	28173	18	6	967	0	7	80	37	0	298	6541	9	277	655	0	461	0	5	0	0	121	0	736	301	0	811	1549	663	205	17319	8066	17560	3	586	318	999	283	62	18	0	0	0	566	0	2	0	1070	1121	0	19	0	0	45	37	13	5615	1675	93	0	1	1	2	2486	0	32	368	22	1084	0	0
RAG1	0	1414	217	0	28733	15	44	660	8	0	0	65	22	22812	1	356	79	0	7	2254	28	0	0	1	1184	1537	342	337	19	111	3	5	471	2	267	0	23	0	0	0	0	14	30	1	0	10	1	33	0	31	4	49	3	43	34	6151	0	1388	5414	132	0	3	64	0	11	401	22	0	0	281	0	0	0	20	3132	920	267	1362	537	0	9	0	0	3	1	375	2850	2	17	121	0	0	0	0	2	0	0	16	2723	0	0	11	837	1271	6	180	0	3	47	0	1	5589	0	1	1	11556	9	9	3680	0	76	1010	37	0	2356	2134	154	2571	5638	0	727	0	0	0	0	142	15	47	98	0	1414	9270	5088	1238	11881	4214	10917	66	2412	595	2097	1093	345	20	381	46	3	320	0	86	0	3304	1183	0	146	2	3	3	18	15	5539	668	147	0	6	1	2	981	6	123	1375	1291	408	1	0
RAG10	0	1307	171	0	26160	15	35	476	21	0	8	46	19	18036	1	279	47	0	2	2565	18	0	0	0	1147	1500	510	276	11	253	3	14	383	1	398	0	49	0	0	0	0	12	32	0	5	8	0	25	0	16	0	9	4	31	26	5910	0	946	4133	59	2	0	54	0	8	336	20	1	1	220	0	0	0	14	2571	621	171	1324	485	0	8	0	0	7	0	333	2601	3	9	94	1	0	0	2	1	0	0	7	2360	1	0	10	2526	1104	8	113	0	2	43	1	1	5431	0	1	0	11571	13	12	3496	1	51	1174	22	0	2154	1942	145	2535	4765	0	678	0	0	0	0	141	10	52	59	0	1121	8184	4699	825	12071	4137	10419	51	1833	560	2134	986	276	17	197	23	4	302	0	140	0	2651	1259	1	112	0	2	5	21	20	5509	631	166	1	6	3	5	893	24	104	1315	1264	456	0	0
RAG11	0	226	118	0	9834	7	6	154	5	0	0	6	0	9164	0	129	29	0	2	297	2	0	0	0	607	811	182	160	2	81	1	4	126	2	99	0	13	0	0	0	0	0	18	0	20	4	0	11	0	5	0	28	0	19	17	1072	0	135	600	2	0	0	7	0	4	22	1	1	0	33	0	0	0	5	575	129	18	185	75	0	1	0	0	1	1	57	628	2	2	36	0	0	0	0	0	0	0	2	753	0	0	0	194	549	3	19	0	3	9	0	0	699	0	1	0	2855	13	2	869	0	6	189	8	0	367	384	21	596	1089	0	56	0	0	0	0	65	0	9	6	0	399	4343	2065	328	4061	1373	4543	20	1244	244	367	182	51	7	237	28	1	90	0	4	0	1806	376	0	12	0	1	1	6	5	2127	281	41	0	2	0	5	438	3	30	217	443	68	0	0
RAG12	0	799	167	0	17291	32	47	350	12	0	3	34	7	16741	0	259	41	0	2	1391	17	0	0	0	966	1101	242	357	10	245	0	20	349	1	265	0	6	0	0	0	1	11	6	0	2	10	0	36	0	29	2	17	0	43	22	3488	0	520	3348	31	2	1	46	0	4	168	13	2	0	168	0	0	0	10	1866	408	176	652	281	0	5	0	0	0	0	187	2277	2	5	171	1	0	0	0	0	0	0	54	1813	0	0	6	2266	883	8	94	0	2	49	1	2	3452	0	4	0	6652	14	5	2406	1	44	742	27	1	1249	1644	86	1549	3309	0	570	0	0	0	0	80	2	34	30	0	893	8017	3809	648	7880	2801	7541	38	1914	415	1284	680	158	23	252	42	1	274	0	70	0	2731	1021	0	73	0	1	2	18	13	4012	678	194	0	4	1	7	1032	19	164	1070	1053	296	1	0
