Sample	Acidobacteria	Actinobacteria	Armatimonadetes	BRC1	Bacteroidetes	Caldiserica	Candidatus Saccharibacteria	Chlamydiae	Chloroflexi	Crenarchaeota	Cyanobacteria/Chloroplast	Deinococcus-Thermus	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Gemmatimonadetes	Hydrogenedentes	Latescibacteria	Nitrospirae	Pacearchaeota	Parcubacteria	Planctomycetes	Proteobacteria	Spirochaetes	Tenericutes	Thaumarchaeota	Verrucomicrobia	Woesearchaeota	candidate division WPS-1	candidate division WPS-2	candidate division ZB3
BulkRAG1	17837	43976	26	2	1738	0	365	176	2657	4	207	4	0	27	2	20931	512	0	15	643	0	4	3158	28955	0	0	466	2091	0	605	695	0
BulkRAG2	21624	52979	44	3	2432	0	582	196	4007	5	244	9	0	31	0	27053	770	0	12	908	0	7	4000	32681	0	1	759	2760	1	797	782	0
BulkRAG3	16458	41220	37	3	1750	0	456	153	2812	1	276	13	0	19	0	20758	524	0	6	704	0	6	2943	23653	0	0	630	2197	4	646	516	0
BulkTP1	14787	54779	5	22	684	0	137	612	1247	1	8	7	0	47	0	18431	215	1	170	718	0	30	5960	67881	0	0	500	11610	4	404	27	0
BulkTP2	15745	52013	5	15	726	0	167	713	1246	3	5	0	2	14	1	18923	183	0	215	823	2	35	5978	70304	1	0	532	13346	2	370	20	0
BulkTP3	11712	49369	7	13	895	0	80	418	829	2	1	0	0	11	1	9351	180	0	174	598	0	19	4871	59365	0	0	403	12042	0	368	22	0
RAG1	33319	54926	187	22	3468	0	1010	337	5063	2	655	26	1	91	3	29068	1388	1	17	1271	0	47	5768	47218	0	0	837	5011	6	1375	1291	0
RAG10	28245	51850	171	19	3520	0	1174	276	4530	5	523	53	0	146	4	22953	946	0	9	1104	0	43	5619	45808	0	0	2527	4582	24	1315	1264	0
RAG11	10536	16947	54	0	956	0	189	160	964	5	390	14	0	4	0	12361	135	0	2	549	0	9	776	13830	0	0	194	1259	3	217	443	0
RAG12	23185	33583	150	7	2251	0	742	357	3539	8	623	7	0	71	0	21797	520	0	5	883	0	49	3567	30810	0	0	2266	4413	19	1070	1053	0
RAG2	29941	44597	156	8	14617	0	1187	316	4505	4	915	6	1	233	1	26400	994	0	18	1085	0	55	5403	49697	0	0	874	5634	22	1142	1006	0
RAG3	31518	53739	179	9	3263	0	999	324	4973	5	645	19	0	81	2	28136	1072	0	7	1189	0	63	5903	48485	0	0	759	4607	18	1197	1254	0
RAG4	30744	53328	181	19	6302	0	1061	351	4788	8	770	20	1	84	2	30569	1073	0	12	1197	0	45	6085	47440	0	0	940	5434	19	1172	945	0
RAG5	24732	40907	139	14	2331	0	966	292	4081	6	239	6	0	120	5	19947	828	0	6	906	0	33	5045	35904	1	0	658	3967	15	1087	1204	0
RAG6	9493	14436	101	8	5685	0	366	166	1554	6	113	94	0	42	1	8886	329	0	6	434	0	20	1738	284267	0	1	255	2117	10	445	365	0
RAG7	31754	52069	140	5	1968	0	846	381	5361	14	434	4	0	108	3	32635	886	0	22	1193	0	56	6300	40572	0	0	847	5130	19	1214	1328	0
RAG8	11436	21484	78	6	2989	0	375	151	1976	4	163	42	0	46	0	10390	404	0	7	508	0	14	2537	137181	0	0	296	2088	7	525	503	0
RAG9	19050	35971	124	6	2325	0	376	269	2241	5	278	87	0	25	1	14799	681	0	5	873	0	25	3466	34448	0	0	1133	3849	4	880	843	0
RTP1	14718	68961	23	18	1038	0	368	947	1400	1	9	27	0	15	2	21334	286	0	139	597	1	17	7151	72224	0	2	562	15704	3	681	27	1
RTP10	15410	60650	41	29	1475	0	270	940	1377	3	43	62	1	20	1	23074	265	0	157	666	0	13	7303	67748	0	2	690	14141	3	710	21	0
RTP11	13982	58782	30	24	1250	0	419	932	1229	6	67	50	2	14	0	19307	201	0	137	559	1	17	6021	67527	0	1	492	12342	0	552	39	0
RTP12	10435	45570	29	19	953	0	273	627	939	0	55	32	1	15	0	14430	165	0	105	447	0	9	4860	49165	0	2	372	9171	1	454	23	1
RTP2	13958	59351	25	31	998	1	419	835	1244	0	11	10	0	32	3	21158	250	0	175	649	0	13	6724	64774	0	0	523	13417	0	655	29	0
RTP3	14919	65002	32	19	1383	0	528	1173	1494	1	19	20	0	29	3	20691	255	1	124	645	0	28	6540	71521	0	1	575	15393	0	813	57	0
RTP4	11852	49556	33	10	974	0	329	788	1085	2	14	20	0	17	1	17238	205	0	122	523	0	17	6002	56371	0	2	519	12400	0	589	30	0
RTP5	15664	64982	58	26	1735	0	449	1101	1498	2	37	33	3	23	1	23991	252	0	165	700	0	15	7872	78683	0	0	697	16705	1	800	42	0
RTP6	15718	64037	60	18	1869	0	565	1347	1549	3	206	23	3	16	2	22042	312	0	140	570	0	26	7382	75343	0	1	612	17348	0	874	65	0
RTP7	15316	61384	41	14	1355	0	753	894	1470	4	109	18	0	18	2	18775	294	0	168	592	0	24	6882	71767	0	0	561	17135	1	834	33	1
RTP8	8907	40310	33	10	1085	0	320	854	797	1	50	9	1	11	0	17569	131	0	93	497	0	17	5140	53746	1	0	310	11905	1	471	28	0
RTP9	15333	62502	41	19	1304	0	556	989	1508	3	101	90	0	28	0	20158	288	1	130	636	1	22	7016	66057	0	1	609	13561	2	770	40	0
